company,count,percentage
Tata Consultancy Services,6,8.33
Lucidya | ﻟوﺳﯾدﯾﺎ,3,4.17
Confidential,2,2.78
TestCrew | Quality Engineering & Software Testing,2,2.78
UMATR Applied AI/,2,2.78
Müller's Solutions,2,2.78
Confidential Government,2,2.78
Klanik,2,2.78
HungerStation | ھﻧﻘرﺳﺗﯾﺷن,2,2.78
Associate Consultant - SAP,1,1.39
Bain & Company,1,1.39
SiFi,1,1.39
Al Watania Information Systems (Wisys),1,1.39
Cognizant,1,1.39
aramco digital,1,1.39
Jobgether,1,1.39
Al Watania Information Systems (Wisys).,1,1.39
Knight Frank MENA Saudi,1,1.39
Infinite pl 2026 KSA Analyst Program - Data & AI Analyst,1,1.39
HALA,1,1.39
RER | اﻟﺳﺟل اﻟﻌﻘﺎري SAED GDP,1,1.39
Tata Consultancy Services Gen AI,1,1.39
Sanad Connect Artificial Intelligence Solutions,1,1.39
Sanad Connect,1,1.39
Hire Feed,1,1.39
SAB Invest Alawael Graduate Development Program 2026,1,1.39
Master Works Machine Learning &,1,1.39
UMATR Lead,1,1.39
Ninja 󰵈 ﻧﯾﻧﺟﺎ,1,1.39
Ebra | إﺑراء QA Engineer,1,1.39
"Master Works SDE-1 Computer Vision, Engineer",1,1.39
Whiteshield Whiteshield,1,1.39
Strategic Gears Analyst,1,1.39
Confidential Government AI &,1,1.39
SALIC Risk Trainee (GDP),1,1.39
Müller's Solutions AI /,1,1.39
Huxley GenAI Specialist,1,1.39
Confidential Government Data Collection & Quality Management Analyst,1,1.39
Tangent International 🚀 AI & Data Architect - LLM + Big Data (Digital Transformation),1,1.39
Al-Qadsiah Saudi Club ﻧﺎدي اﻟﻘﺎدﺳﯾﺔ اﻟﺳﻌودي Application Developer & Designer,1,1.39
NXS Tech Ltd,1,1.39
Abyan Capital,1,1.39
Master Works LLM Engineers,1,1.39
TAWANTECH Junior,1,1.39
Master Works Data Scienist,1,1.39
Multimedia AI Expert / AI Solutions Engineer,1,1.39
Tamara,1,1.39
Systems Arabia,1,1.39
Diyar United Company,1,1.39
aramco digital Corporate Strategy Analyst,1,1.39
MIDWAM AI & Computer Vision Developer (Creative AI Integration),1,1.39
Keeta,1,1.39
TAWANTECH Artificial Intelligence (AI) Engineer,1,1.39
Confidential Government Researcher,1,1.39
NSG Geospatial Services,1,1.39
NOVOTAK Softwarev Engineer,1,1.39
DATA Artificial Intelligence Programmer,1,1.39
Exotech Co (AI) Artificial Intelligence,1,1.39
