"skill_tool","Count"
"AI","42"
"Machine Learning","30"
"PyTorch","25"
"TensorFlow","22"
"Docker","18"
"Data Science","18"
"SQL","18"
"Azure","17"
"Data Analysis","16"
"Research","16"
"AWS","15"
"MLOps","15"
"Deep Learning","13"
"RAG","13"
"NLP","13"
"LLMs","13"
"Kubernetes","12"
"Generative AI","11"
"FastAPI","9"
"Computer Vision","9"
"Power BI","7"
"Data Engineering","7"
"Pandas","7"
"Prompt Engineering","7"
"LangChain","7"
"OpenAI","5"
"Tableau","5"
"SAP","3"
"API Development","2"
"Business Analysis","1"
